chromo	n_variants	callable	divergence	indel_type
Uextra	0	7	0.0	indel
XHet	2	138	0.0144927536232	indel
Uextra	0	7	0.0	deletion
XHet	1	138	0.00724637681159	deletion
4	0	96	0.0	indel
U	8	907	0.00882028665932	indel
Uextra	0	7	0.0	insertion
XHet	1	138	0.00724637681159	insertion
4	0	96	0.0	deletion
U	8	907	0.00882028665932	deletion
X	93	30493	0.0030498803004	indel
2R	45	20696	0.00217433320448	indel
2L	48	20575	0.00233292831106	indel
3L	70	31160	0.00224646983312	indel
3R	87	31130	0.00279473177	indel
4	0	96	0.0	insertion
U	0	907	0.0	insertion
X	37	30493	0.00121339323779	deletion
2R	23	20696	0.00111132586007	deletion
2L	20	20575	0.00097205346294	deletion
3L	34	31160	0.00109114249037	deletion
3R	42	31130	0.00134918085448	deletion
X	56	30493	0.0018364870626	insertion
2R	22	20696	0.00106300734441	insertion
2L	28	20575	0.00136087484812	insertion
3L	36	31160	0.00115532734275	insertion
3R	45	31130	0.00144555091552	insertion
