chromo	n_variants	callable	divergence	indel_type
Uextra	10	4447	0.00224870699348	indel
XHet	7	1702	0.00411280846063	indel
YHet	10	1516	0.0065963060686	indel
2LHet	4	1472	0.00271739130435	indel
3RHet	8	3732	0.0021436227224	indel
2RHet	19	4415	0.00430351075878	indel
3LHet	31	8482	0.0036547983966	indel
Uextra	5	4447	0.00112435349674	deletion
XHet	6	1702	0.00352526439483	deletion
YHet	7	1516	0.00461741424802	deletion
2LHet	3	1472	0.00203804347826	deletion
3RHet	6	3732	0.0016077170418	deletion
2RHet	9	4415	0.00203850509626	deletion
3LHet	21	8482	0.00247583117189	deletion
U	37	10977	0.00337068415778	indel
4	101	24107	0.00418965445721	indel
Uextra	5	4447	0.00112435349674	insertion
2LHet	1	1472	0.000679347826087	insertion
XHet	1	1702	0.000587544065805	insertion
YHet	3	1516	0.00197889182058	insertion
2RHet	10	4415	0.00226500566251	insertion
3RHet	2	3732	0.0005359056806	insertion
3LHet	10	8482	0.00117896722471	insertion
U	27	10977	0.00245968843946	deletion
4	62	24107	0.00257186709255	deletion
2L	578	168689	0.00342642377393	indel
2R	655	195881	0.00334386693962	indel
U	10	10977	0.00091099571832	insertion
4	39	24107	0.00161778736467	insertion
3L	800	246739	0.00324229246289	indel
X	1431	354130	0.00404088893909	indel
3R	913	271552	0.00336215531464	indel
2L	223	168689	0.0013219593453	deletion
2R	263	195881	0.00134265191621	deletion
3L	340	246739	0.00137797429673	deletion
X	485	354130	0.00136955355378	deletion
3R	412	271552	0.00151720480792	deletion
2L	355	168689	0.00210446442862	insertion
2R	392	195881	0.00200121502341	insertion
3L	460	246739	0.00186431816616	insertion
X	946	354130	0.00267133538531	insertion
3R	501	271552	0.00184495050672	insertion
