region	bin	type	seg_sites	callable	theta_w	t_lwr	t_upr	pi	pi_lwr	pi_upr	tajD	tajD_lwr	tajD_upr
ALL	ALL	del	100245	43711415.0	0.0006783557	0.0	0.0	0.0005127311	0.0	0.0	-1.0593690129	0.0	0.0
ALL	ALL	ins	70842	43711415.0	0.0004793863	0.0	0.0	0.0004084167	0.0	0.0	-0.642337284	0.0	0.0
ALL	ALL	indel	398231	73195719.0	0.0016093075	0.0	0.0	0.0013363244	0.0	0.0	-0.7360090581	0.0	0.0
ALL	CDS	del	1503	10654518.0	4.17268e-05	0.0	0.0	2.74287e-05	0.0	0.0	-1.4848062536	0.0	0.0
ALL	CDS	ins	677	10654518.0	1.87951e-05	0.0	0.0	1.46939e-05	0.0	0.0	-0.9439755101	0.0	0.0
ALL	CDS	indel	3942	16165165.0	7.21317e-05	0.0	0.0	5.20369e-05	0.0	0.0	-1.2081597252	0.0	0.0
ALL	CDS_frameshift	del	607	10654518.0	1.68517e-05	0.0	0.0	1.09819e-05	0.0	0.0	-1.5063661827	0.0	0.0
ALL	CDS_frameshift	ins	307	10654518.0	8.523e-06	0.0	0.0	6.4052e-06	0.0	0.0	-1.0711383274	0.0	0.0
ALL	CDS_frameshift	indel	1584	16165165.0	2.89844e-05	0.0	0.0	2.06048e-05	0.0	0.0	-1.2528393686	0.0	0.0
ALL	CDS_non_frameshift	del	896	10654518.0	2.4875e-05	0.0	0.0	1.64468e-05	0.0	0.0	-1.4668508031	0.0	0.0
ALL	CDS_non_frameshift	ins	370	10654518.0	1.02721e-05	0.0	0.0	8.2887e-06	0.0	0.0	-0.8332435324	0.0	0.0
ALL	CDS_non_frameshift	indel	2358	16165165.0	4.31473e-05	0.0	0.0	3.14321e-05	0.0	0.0	-1.1770997784	0.0	0.0
ALL	intron	del	48514	17323763.0	0.0008283512	0.0	0.0	0.0006261968	0.0	0.0	-1.0588618533	0.0	0.0
ALL	intron	ins	34714	17323763.0	0.0005927234	0.0	0.0	0.0005065844	0.0	0.0	-0.6305374872	0.0	0.0
ALL	intron	indel	198662	30189228.0	0.0019464912	0.0	0.0	0.0016192889	0.0	0.0	-0.7293705165	0.0	0.0
ALL	intergenic	del	42127	14182009.0	0.0008786429	0.0	0.0	0.0006704792	0.0	0.0	-1.0279229493	0.0	0.0
ALL	intergenic	ins	29407	14182009.0	0.0006133419	0.0	0.0	0.0005271856	0.0	0.0	-0.6094572345	0.0	0.0
ALL	intergenic	indel	167613	24267586.0	0.0020430113	0.0	0.0	0.0017113438	0.0	0.0	-0.7043939956	0.0	0.0
ALL	non-coding	del	90641	31505772.0	0.0008509895	0.0	0.0	0.0006461301	0.0	0.0	-1.044505688	0.0	0.0
ALL	non-coding	ins	64121	31505772.0	0.0006020046	0.0	0.0	0.0005158578	0.0	0.0	-0.6208892277	0.0	0.0
ALL	non-coding	indel	366275	54456814.0	0.0019895034	0.0	0.0	0.0016603113	0.0	0.0	-0.7179448304	0.0	0.0
ALL	AR	del	2457	647574.0	0.0011222908	0.0	0.0	0.0008456103	0.0	0.0	-1.0688210222	0.0	0.0
ALL	AR	ins	2249	647574.0	0.001027282	0.0	0.0	0.0007716237	0.0	0.0	-1.0788702443	0.0	0.0
ALL	AR	indel	8045	800203.0	0.0029738257	0.0	0.0	0.002286029	0.0	0.0	-1.0032848738	0.0	0.0
