length	count	variant	region
1	106555	indel	gwide
2	49732	indel	gwide
3	29732	indel	gwide
4	23016	indel	gwide
5	15059	indel	gwide
6	14178	indel	gwide
7	10914	indel	gwide
8	9715	indel	gwide
9	7946	indel	gwide
10	6476	indel	gwide
11	5187	indel	gwide
12	5236	indel	gwide
13	3725	indel	gwide
14	3446	indel	gwide
15	2939	indel	gwide
16	2420	indel	gwide
17	1953	indel	gwide
18	1809	indel	gwide
19	1567	indel	gwide
20	1399	indel	gwide
21	1252	indel	gwide
22	1103	indel	gwide
23	1007	indel	gwide
24	1015	indel	gwide
25	849	indel	gwide
26	717	indel	gwide
27	762	indel	gwide
28	655	indel	gwide
29	609	indel	gwide
30	581	indel	gwide
31	549	indel	gwide
32	504	indel	gwide
33	479	indel	gwide
34	432	indel	gwide
35	426	indel	gwide
36	351	indel	gwide
37	335	indel	gwide
38	298	indel	gwide
39	238	indel	gwide
40	227	indel	gwide
41	234	indel	gwide
42	206	indel	gwide
43	174	indel	gwide
44	176	indel	gwide
45	174	indel	gwide
46	136	indel	gwide
47	122	indel	gwide
48	113	indel	gwide
49	129	indel	gwide
50	113	indel	gwide
1	22812	ins	gwide
2	10817	ins	gwide
3	6170	ins	gwide
4	4526	ins	gwide
5	2571	ins	gwide
6	2245	ins	gwide
7	1655	ins	gwide
8	1397	ins	gwide
9	1003	ins	gwide
10	790	ins	gwide
11	547	ins	gwide
12	590	ins	gwide
13	364	ins	gwide
14	351	ins	gwide
15	288	ins	gwide
16	233	ins	gwide
17	173	ins	gwide
18	172	ins	gwide
19	126	ins	gwide
20	118	ins	gwide
21	102	ins	gwide
22	86	ins	gwide
23	67	ins	gwide
24	69	ins	gwide
25	59	ins	gwide
26	42	ins	gwide
27	55	ins	gwide
28	50	ins	gwide
29	46	ins	gwide
30	29	ins	gwide
31	36	ins	gwide
32	43	ins	gwide
33	36	ins	gwide
34	22	ins	gwide
35	33	ins	gwide
36	27	ins	gwide
37	26	ins	gwide
38	27	ins	gwide
39	22	ins	gwide
40	15	ins	gwide
41	16	ins	gwide
42	22	ins	gwide
43	13	ins	gwide
44	17	ins	gwide
45	19	ins	gwide
46	20	ins	gwide
47	12	ins	gwide
48	17	ins	gwide
49	9	ins	gwide
50	11	ins	gwide
1	28833	del	gwide
2	12207	del	gwide
3	7718	del	gwide
4	5692	del	gwide
5	4108	del	gwide
6	4012	del	gwide
7	3069	del	gwide
8	2635	del	gwide
9	2245	del	gwide
10	1806	del	gwide
11	1416	del	gwide
12	1413	del	gwide
13	1001	del	gwide
14	896	del	gwide
15	759	del	gwide
16	555	del	gwide
17	482	del	gwide
18	443	del	gwide
19	373	del	gwide
20	324	del	gwide
21	277	del	gwide
22	249	del	gwide
23	225	del	gwide
24	227	del	gwide
25	185	del	gwide
26	161	del	gwide
27	160	del	gwide
28	127	del	gwide
29	112	del	gwide
30	110	del	gwide
31	111	del	gwide
32	89	del	gwide
33	95	del	gwide
34	86	del	gwide
35	93	del	gwide
36	68	del	gwide
37	52	del	gwide
38	49	del	gwide
39	38	del	gwide
40	42	del	gwide
41	29	del	gwide
42	30	del	gwide
43	23	del	gwide
44	15	del	gwide
45	20	del	gwide
46	17	del	gwide
47	12	del	gwide
48	16	del	gwide
49	15	del	gwide
50	19	del	gwide
1	450	indel	CDS
2	410	indel	CDS
3	756	indel	CDS
4	136	indel	CDS
5	87	indel	CDS
6	431	indel	CDS
7	42	indel	CDS
8	50	indel	CDS
9	275	indel	CDS
10	30	indel	CDS
11	31	indel	CDS
12	151	indel	CDS
13	17	indel	CDS
14	22	indel	CDS
15	88	indel	CDS
16	20	indel	CDS
17	9	indel	CDS
18	54	indel	CDS
19	9	indel	CDS
20	10	indel	CDS
21	42	indel	CDS
22	6	indel	CDS
23	7	indel	CDS
24	39	indel	CDS
25	10	indel	CDS
26	12	indel	CDS
27	27	indel	CDS
28	7	indel	CDS
29	11	indel	CDS
30	15	indel	CDS
31	3	indel	CDS
32	1	indel	CDS
33	12	indel	CDS
34	7	indel	CDS
35	3	indel	CDS
36	6	indel	CDS
37	6	indel	CDS
38	4	indel	CDS
39	11	indel	CDS
40	1	indel	CDS
41	4	indel	CDS
42	9	indel	CDS
43	3	indel	CDS
44	3	indel	CDS
45	11	indel	CDS
46	3	indel	CDS
48	2	indel	CDS
49	1	indel	CDS
50	3	indel	CDS
1	90	ins	CDS
2	91	ins	CDS
3	167	ins	CDS
4	26	ins	CDS
5	13	ins	CDS
6	55	ins	CDS
7	8	ins	CDS
8	8	ins	CDS
9	31	ins	CDS
10	6	ins	CDS
11	8	ins	CDS
12	17	ins	CDS
13	2	ins	CDS
14	6	ins	CDS
15	8	ins	CDS
16	1	ins	CDS
17	1	ins	CDS
18	7	ins	CDS
19	2	ins	CDS
20	3	ins	CDS
21	6	ins	CDS
24	3	ins	CDS
25	1	ins	CDS
26	1	ins	CDS
27	1	ins	CDS
29	1	ins	CDS
30	1	ins	CDS
33	1	ins	CDS
35	1	ins	CDS
36	2	ins	CDS
38	2	ins	CDS
39	2	ins	CDS
41	1	ins	CDS
42	1	ins	CDS
45	2	ins	CDS
50	2	ins	CDS
1	166	del	CDS
2	153	del	CDS
3	273	del	CDS
4	50	del	CDS
5	39	del	CDS
6	173	del	CDS
7	14	del	CDS
8	28	del	CDS
9	113	del	CDS
10	13	del	CDS
11	11	del	CDS
12	66	del	CDS
13	7	del	CDS
14	9	del	CDS
15	41	del	CDS
16	15	del	CDS
17	3	del	CDS
18	18	del	CDS
19	5	del	CDS
20	4	del	CDS
21	17	del	CDS
22	4	del	CDS
23	5	del	CDS
24	18	del	CDS
25	5	del	CDS
26	7	del	CDS
27	10	del	CDS
28	5	del	CDS
29	1	del	CDS
30	9	del	CDS
31	1	del	CDS
33	6	del	CDS
34	5	del	CDS
35	2	del	CDS
36	1	del	CDS
37	2	del	CDS
38	2	del	CDS
39	2	del	CDS
40	1	del	CDS
41	2	del	CDS
42	3	del	CDS
43	3	del	CDS
44	1	del	CDS
45	4	del	CDS
46	1	del	CDS
48	1	del	CDS
50	1	del	CDS
1	99170	indel	non-coding
2	45944	indel	non-coding
3	26806	indel	non-coding
4	21310	indel	non-coding
5	14004	indel	non-coding
6	12362	indel	non-coding
7	10089	indel	non-coding
8	8976	indel	non-coding
9	7071	indel	non-coding
10	6021	indel	non-coding
11	4868	indel	non-coding
12	4586	indel	non-coding
13	3526	indel	non-coding
14	3201	indel	non-coding
15	2666	indel	non-coding
16	2262	indel	non-coding
17	1831	indel	non-coding
18	1627	indel	non-coding
19	1476	indel	non-coding
20	1307	indel	non-coding
21	1132	indel	non-coding
22	1051	indel	non-coding
23	944	indel	non-coding
24	907	indel	non-coding
25	796	indel	non-coding
26	664	indel	non-coding
27	691	indel	non-coding
28	613	indel	non-coding
29	568	indel	non-coding
30	537	indel	non-coding
31	527	indel	non-coding
32	482	indel	non-coding
33	438	indel	non-coding
34	403	indel	non-coding
35	395	indel	non-coding
36	321	indel	non-coding
37	311	indel	non-coding
38	280	indel	non-coding
39	220	indel	non-coding
40	216	indel	non-coding
41	221	indel	non-coding
42	188	indel	non-coding
43	161	indel	non-coding
44	166	indel	non-coding
45	153	indel	non-coding
46	129	indel	non-coding
47	113	indel	non-coding
48	105	indel	non-coding
49	120	indel	non-coding
50	102	indel	non-coding
1	21092	ins	non-coding
2	9854	ins	non-coding
3	5472	ins	non-coding
4	4119	ins	non-coding
5	2351	ins	non-coding
6	1914	ins	non-coding
7	1502	ins	non-coding
8	1265	ins	non-coding
9	888	ins	non-coding
10	720	ins	non-coding
11	500	ins	non-coding
12	480	ins	non-coding
13	343	ins	non-coding
14	307	ins	non-coding
15	262	ins	non-coding
16	213	ins	non-coding
17	162	ins	non-coding
18	148	ins	non-coding
19	116	ins	non-coding
20	110	ins	non-coding
21	87	ins	non-coding
22	79	ins	non-coding
23	61	ins	non-coding
24	62	ins	non-coding
25	55	ins	non-coding
26	39	ins	non-coding
27	51	ins	non-coding
28	46	ins	non-coding
29	41	ins	non-coding
30	24	ins	non-coding
31	35	ins	non-coding
32	40	ins	non-coding
33	31	ins	non-coding
34	20	ins	non-coding
35	29	ins	non-coding
36	23	ins	non-coding
37	25	ins	non-coding
38	25	ins	non-coding
39	18	ins	non-coding
40	14	ins	non-coding
41	15	ins	non-coding
42	20	ins	non-coding
