length	n_variants	callable	divergence	indel_type
1	49	13235640	3.70212547334e-06	deletion
2	30	13235640	2.26660743266e-06	deletion
3	355	13235640	2.68215212865e-05	deletion
4+	85	13235640	6.42205439253e-06	deletion
6+	831	13235640	6.27850258847e-05	deletion
1	68	13235640	5.13764351403e-06	insertion
2	43	13235640	3.24880398681e-06	insertion
3	617	13235640	4.66165595317e-05	insertion
4+	45	13235640	3.39991114899e-06	insertion
6+	352	13235640	2.65948605432e-05	insertion
<51	1350	13235640	0.00010199733447	deletion
<51	1125	13235640	8.49977787247e-05	insertion
