length	n_variants	callable	divergence	indel_type
1	14448	45650978	0.000316488290788	deletion
2	4565	45650978	9.99978576582e-05	deletion
3	3435	45650978	7.52448282707e-05	deletion
4+	18249	45650978	0.00039975047194	deletion
6+	8376	45650978	0.000183479092168	deletion
1	32731	45650978	0.000716983544142	insertion
2	16633	45650978	0.000364351449382	insertion
3	9952	45650978	0.000218001901296	insertion
4+	17512	45650978	0.000383606239498	insertion
6+	5459	45650978	0.000119581227811	insertion
<51	49073	45650978	0.00107496054082	deletion
<51	82287	45650978	0.00180252436213	insertion
