run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,delta_AIC
74,1,3,0.00780349757632,na,na,0,0,snp,1,neu,1794735.68331,neu_e_1,5000,True,snp_discrete_1class_equal_t,19,-3589433.36662,-17085.5266481
74,1,3,0.00780349757632,na,na,-4.62167513074,0.0973587459728,snp,1,sel,1794735.68331,neu_e_1,5000,True,snp_discrete_1class_equal_t,19,-3589433.36662,-17085.5266481
42,1,3,0.0170601125734,na,na,0,0.0812737377682,snp,1,neu,1803251.3037,r_16,5000,True,snp_discrete_1class,20,-3606462.60741,-56.2858629599
42,1,3,0.00556419248336,na,na,-0.54414111917,0.0737490113075,snp,1,sel,1803251.3037,r_16,5000,True,snp_discrete_1class,20,-3606462.60741,-56.2858629599
99,1,3,0.0158647486927,na,na,0,0.0398485420999,snp,1,neu,1803281.44663,sel_e_1,5000,True,snp_discrete_2class_equal_t,22,-3606518.89327,0.0
99,1,3,0.0110370525757,na,na,-347.803375809,0,snp,1,sel,1803281.44663,sel_e_1,5000,True,snp_discrete_2class_equal_t,22,-3606518.89327,0.0
99,1,3,0.00482769611709,na,na,-0.260332704732,0.039926875534,snp,2,sel,1803281.44663,sel_e_1,5000,True,snp_discrete_2class_equal_t,22,-3606518.89327,0.0
81,1,3,0.0156978933377,na,na,0,0.0292871580268,snp,1,neu,1803281.32267,sel_e_1,5000,True,snp_discrete_2class,23,-3606516.64533,-2.24793552002
81,1,3,0.0165957781179,na,na,-537.459644043,0,snp,1,sel,1803281.32267,sel_e_1,5000,True,snp_discrete_2class,23,-3606516.64533,-2.24793552002
81,1,3,0.00479016327721,na,na,-0.271158189468,0.0306729637947,snp,2,sel,1803281.32267,sel_e_1,5000,True,snp_discrete_2class,23,-3606516.64533,-2.24793552002
67,1,3,0.0153759953772,na,na,0,0.0076082169407,snp,1,neu,1803282.25881,sel_e_1,5000,True,snp_discrete_3class_equal_t,25,-3606514.51763,-4.37564340001
67,1,3,0.00243555176706,na,na,-58.2177453285,0,snp,1,sel,1803282.25881,sel_e_1,5000,True,snp_discrete_3class_equal_t,25,-3606514.51763,-4.37564340001
67,1,3,0.00832760627842,na,na,-7116.28539499,0.000607044827302,snp,2,sel,1803282.25881,sel_e_1,5000,True,snp_discrete_3class_equal_t,25,-3606514.51763,-4.37564340001
67,1,3,0.00461283733172,na,na,-0.205848565648,0.0103853249262,snp,3,sel,1803282.25881,sel_e_1,5000,True,snp_discrete_3class_equal_t,25,-3606514.51763,-4.37564340001
90,1,3,0.0159493795043,na,na,0,0.0446947234396,snp,1,neu,1803282.32581,sel_e_2,5000,True,snp_discrete_3class,26,-3606512.65161,-6.24165700004
90,1,3,0.00473978112319,na,na,-0.170338046573,0.0440573201797,snp,1,sel,1803282.32581,sel_e_2,5000,True,snp_discrete_3class,26,-3606512.65161,-6.24165700004
90,1,3,0.00217859136779,na,na,-46.1525357157,0,snp,2,sel,1803282.32581,sel_e_2,5000,True,snp_discrete_3class,26,-3606512.65161,-6.24165700004
90,1,3,0.0101771351842,na,na,-35269.372964,0.00168240172077,snp,3,sel,1803282.32581,sel_e_2,5000,True,snp_discrete_3class,26,-3606512.65161,-6.24165700004
26,1,3,0.0133516627334,na,na,0,3.13082892944e-16,snp,1,neu,1802827.24844,,5000,True,snp_continuous_1class_equal_t,20,-3605614.49687,-904.39639662
26,1,3,0.0133516627334,2179.92970345,0.217495155928,na,0.0374049553573,snp,1,sel,1802827.24844,,5000,True,snp_continuous_1class_equal_t,20,-3605614.49687,-904.39639662
14,1,3,0.0153511585578,na,na,0,0,snp,1,neu,1803279.47776,neu_e_1,5000,True,snp_continuous_1class,21,-3606516.95552,-1.93775193999
14,1,3,0.00674161367569,1179.10245328,0.0766382109928,na,0.00497108833625,snp,1,sel,1803279.47776,neu_e_1,5000,True,snp_continuous_1class,21,-3606516.95552,-1.93775193999
