run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,rep,region,model
482,1,3,0.005553638,na,na,-0.546166019,0.07206674,snp,1,sel,1803251.272,0,CDS,sel_v_neu_1class
482,1,3,0.017017744,na,na,0,0.079176564,snp,1,neu,1803251.272,0,CDS,sel_v_neu_1class
253,1,3,0.007803496,na,na,-4.621676034,0.097358758,snp,1,sel,1794735.683,0,CDS,sel_v_neu_1class_equal_t
253,1,3,0.007803496,na,na,0,0,snp,1,neu,1794735.683,0,CDS,sel_v_neu_1class_equal_t
294,1,3,0.004579122,na,na,-0.17357864,0.010891938,snp,1,sel,1803282.316,0,CDS,sel_v_neu_2class
294,1,3,0.002149911,na,na,-44.21223327,0,snp,2,sel,1803282.316,0,CDS,sel_v_neu_2class
429,1,3,0.004663538,na,na,-0.275908972,0.005094496,snp,1,sel,1803281.434,0,CDS,sel_v_neu_2class_equal_t
429,1,3,0.010599655,na,na,-330.5235894,0,snp,2,sel,1803281.434,0,CDS,sel_v_neu_2class_equal_t
234,1,3,0.00593628,129.7710329,0.087858324,na,0.006064963,snp,1,sel,1803277.442,0,CDS,sel_v_neu_continuous
259,1,3,0.011572039,215.5631424,0.348721363,na,0.054637202,snp,1,sel,1801704.405,0,CDS,sel_v_neu_continuous_equal_t
