run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,delta_AIC
55,1,3,0.00070589482915,na,na,0,8.45989944764e-16,ins,1,neu,1025773.24832,,5000,True,indel_discrete_1class_equal_t,23,-2051500.49664,-6826.46010312
55,1,3,0.00111844181284,na,na,0,0.0354126437751,del,1,neu,1025773.24832,,5000,True,indel_discrete_1class_equal_t,23,-2051500.49664,-6826.46010312
55,1,3,0.00070589482915,na,na,-96.3199286803,0.0959794130348,ins,1,sel,1025773.24832,,5000,True,indel_discrete_1class_equal_t,23,-2051500.49664,-6826.46010312
55,1,3,0.00111844181284,na,na,-69.9845365361,0.053912399018,del,1,sel,1025773.24832,,5000,True,indel_discrete_1class_equal_t,23,-2051500.49664,-6826.46010312
26,1,3,0.000735754487345,na,na,0,0,ins,1,neu,1029175.35411,neu_ins_e_1,5000,True,indel_discrete_1class,25,-2058300.70822,-26.24852188
26,1,3,0.00116797749201,na,na,0,0.0353787116747,del,1,neu,1029175.35411,neu_ins_e_1,5000,True,indel_discrete_1class,25,-2058300.70822,-26.24852188
26,1,3,2.42573765522e-05,na,na,0.279587444706,0.0349839865695,ins,1,sel,1029175.35411,neu_ins_e_1,5000,True,indel_discrete_1class,25,-2058300.70822,-26.24852188
26,1,3,8.3105832824e-05,na,na,-3.58676500063,0.0136043988399,del,1,sel,1029175.35411,neu_ins_e_1,5000,True,indel_discrete_1class,25,-2058300.70822,-26.24852188
22,1,3,0.000744569154032,na,na,0,0.0125635482057,ins,1,neu,1029191.10619,sel_ins_e_1|sel_del_e_2,5000,True,indel_discrete_2class_equal_t,29,-2058324.21239,-2.74435574003
22,1,3,0.0011728078866,na,na,0,0.040445076097,del,1,neu,1029191.10619,sel_ins_e_1|sel_del_e_2,5000,True,indel_discrete_2class_equal_t,29,-2058324.21239,-2.74435574003
22,1,3,0.000721111792746,na,na,-13578.3418149,0,ins,1,sel,1029191.10619,sel_ins_e_1|sel_del_e_2,5000,True,indel_discrete_2class_equal_t,29,-2058324.21239,-2.74435574003
22,1,3,5.29441089193e-05,na,na,-1.62993170996,0.0243314697656,del,1,sel,1029191.10619,sel_ins_e_1|sel_del_e_2,5000,True,indel_discrete_2class_equal_t,29,-2058324.21239,-2.74435574003
22,1,3,2.3457361286e-05,na,na,0.263814871447,0.0255203073798,ins,2,sel,1029191.10619,sel_ins_e_1|sel_del_e_2,5000,True,indel_discrete_2class_equal_t,29,-2058324.21239,-2.74435574003
22,1,3,0.00111986377768,na,na,-645.367480223,0,del,2,sel,1029191.10619,sel_ins_e_1|sel_del_e_2,5000,True,indel_discrete_2class_equal_t,29,-2058324.21239,-2.74435574003
