run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,rep,region,model
197,1,3,2.43E-05,na,na,0.278864519,0.034976502,ins,1,sel,1029175.354,0,CDS,sel_v_neu_1class
197,1,3,8.31E-05,na,na,-3.586573608,0.013605232,del,1,sel,1029175.354,0,CDS,sel_v_neu_1class
197,1,3,0.000735756,na,na,0,0,ins,1,neu,1029175.354,0,CDS,sel_v_neu_1class
197,1,3,0.001167977,na,na,0,0.035376603,del,1,neu,1029175.354,0,CDS,sel_v_neu_1class
498,1,3,0.000705895,na,na,-96.32005452,0.095979663,ins,1,sel,1025773.248,0,CDS,sel_v_neu_1class_equal_t
498,1,3,0.001118442,na,na,-69.98447055,0.053912436,del,1,sel,1025773.248,0,CDS,sel_v_neu_1class_equal_t
498,1,3,0.000705895,na,na,0,0,ins,1,neu,1025773.248,0,CDS,sel_v_neu_1class_equal_t
498,1,3,0.001118442,na,na,0,0.035412576,del,1,neu,1025773.248,0,CDS,sel_v_neu_1class_equal_t
472,1,3,1.75E-05,na,na,2.168942443,0.01725217,ins,1,sel,1029195.969,0,CDS,sel_v_neu_2class
472,1,3,9.16E-05,na,na,-174.6565653,0,ins,2,sel,1029195.969,0,CDS,sel_v_neu_2class
472,1,3,4.25E-05,na,na,-0.895436194,0.018025605,del,1,sel,1029195.969,0,CDS,sel_v_neu_2class
472,1,3,0.000125428,na,na,-42.17127608,0,del,2,sel,1029195.969,0,CDS,sel_v_neu_2class
51,1,3,1.23E-05,na,na,7.556753277,0,ins,1,sel,1029169.191,0,CDS,sel_v_neu_2class_equal_t
51,1,3,0.000719865,na,na,-500,0.016589957,ins,2,sel,1029169.191,0,CDS,sel_v_neu_2class_equal_t
51,1,3,4.52E-05,na,na,-0.982289557,0,del,1,sel,1029169.191,0,CDS,sel_v_neu_2class_equal_t
51,1,3,0.001119162,na,na,-500,0.012173781,del,2,sel,1029169.191,0,CDS,sel_v_neu_2class_equal_t
396,1,3,9.51E-06,na,na,-137.3796188,0,ins,1,sel,1029195.962,0,CDS,sel_v_neu_3class
396,1,3,1.69E-05,na,na,2.536291519,0.019039635,ins,2,sel,1029195.962,0,CDS,sel_v_neu_3class
396,1,3,4.48E-05,na,na,-83.44038001,0,ins,3,sel,1029195.962,0,CDS,sel_v_neu_3class
396,1,3,4.43E-05,na,na,-1.058247105,0.016361113,del,1,sel,1029195.962,0,CDS,sel_v_neu_3class
396,1,3,1.51E-06,na,na,-448.6046284,0,del,2,sel,1029195.962,0,CDS,sel_v_neu_3class
396,1,3,0.000140077,na,na,-51.7174669,0,del,3,sel,1029195.962,0,CDS,sel_v_neu_3class
142,1,3,1.00E-06,na,na,-224.1326995,0.000295268,ins,1,sel,1029169.056,0,CDS,sel_v_neu_3class_equal_t
142,1,3,1.23E-05,na,na,7.566991631,0,ins,2,sel,1029169.056,0,CDS,sel_v_neu_3class_equal_t
142,1,3,0.000718866,na,na,-500,0.016612148,ins,3,sel,1029169.056,0,CDS,sel_v_neu_3class_equal_t
142,1,3,0.001118216,na,na,-500,0.012193967,del,1,sel,1029169.056,0,CDS,sel_v_neu_3class_equal_t
142,1,3,4.51E-05,na,na,-0.976829703,0,del,2,sel,1029169.056,0,CDS,sel_v_neu_3class_equal_t
142,1,3,1.00E-06,na,na,-119.0032979,0,del,3,sel,1029169.056,0,CDS,sel_v_neu_3class_equal_t
468,1,3,2.68E-05,129.8371889,0.042205081,na,0.017871857,ins,1,sel,1029189.108,0,CDS,sel_v_neu_continuous
468,1,3,0.00015239,118.7531816,0.453082402,na,0.014504213,del,1,sel,1029189.108,0,CDS,sel_v_neu_continuous
192,1,3,0.000719776,447.4008648,1.087447537,na,0.061267521,ins,1,sel,1028273.466,0,CDS,sel_v_neu_continuous_equal_t
192,1,3,0.001142001,329.0308535,1.015446211,na,0.051387746,del,1,sel,1028273.466,0,CDS,sel_v_neu_continuous_equal_t
