run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,converged,model,params,AIC,delta_AIC
235,1,3,0.00768725064877,na,na,0,0,snp,1,neu,7640451.38933,neu_e_1,True,snp_discrete_1class_equal_t,19,-15280864.7787,-11422.1481059
235,1,3,0.00768725064877,na,na,-1.30795663135,0.0667953705937,snp,1,sel,7640451.38933,neu_e_1,True,snp_discrete_1class_equal_t,19,-15280864.7787,-11422.1481059
291,1,3,0.00870801744108,na,na,0,0.0458184032969,snp,1,neu,7646162.99388,r_16,True,snp_discrete_1class,20,-15292285.9878,-0.938996540383
291,1,3,0.00539456101336,na,na,1.77126253762,0.0640702126496,snp,1,sel,7646162.99388,r_16,True,snp_discrete_1class,20,-15292285.9878,-0.938996540383
129,1,3,0.00870313672176,na,na,0,0.0457377502123,snp,1,neu,7646165.46338,sel_e_1|r_16,True,snp_discrete_2class_equal_t,22,-15292286.9268,0.0
129,1,3,0.00528234240562,na,na,1.9606654243,0.0549481428778,snp,1,sel,7646165.46338,sel_e_1|r_16,True,snp_discrete_2class_equal_t,22,-15292286.9268,0.0
129,1,3,0.00528234240562,na,na,1.9606654243,0.0549481428778,snp,2,sel,7646165.46338,sel_e_1|r_16,True,snp_discrete_2class_equal_t,22,-15292286.9268,0.0
422,1,3,0.00870320097791,na,na,0,0.0457582473193,snp,1,neu,7646164.95704,sel_e_1|r_16,True,snp_discrete_2class,23,-15292283.9141,-3.01268102042
422,1,3,0.00529635012183,na,na,1.93162338171,0.0560922523172,snp,1,sel,7646164.95704,sel_e_1|r_16,True,snp_discrete_2class,23,-15292283.9141,-3.01268102042
422,1,3,0.00529635012183,na,na,1.93162338171,0.0560922523172,snp,2,sel,7646164.95704,sel_e_1|r_16,True,snp_discrete_2class,23,-15292283.9141,-3.01268102042
431,1,3,0.00795085032475,na,na,0,0,snp,1,neu,7643437.54293,neu_e_1,True,snp_continuous_1class_equal_t,20,-15286835.0859,-5451.84090738
431,1,3,0.00795085032475,279.214710049,0.0888834983337,na,0.0511188928507,snp,1,sel,7643437.54293,neu_e_1,True,snp_continuous_1class_equal_t,20,-15286835.0859,-5451.84090738
384,1,3,0.00816569788188,na,na,0,0,snp,1,neu,7645142.91718,neu_e_1|sel_shape|sel_scale,True,snp_continuous_1class,21,-15290243.8344,-2043.0923918
384,1,3,0.00583218023316,0.1,0.001,na,0.0350614387707,snp,1,sel,7645142.91718,neu_e_1|sel_shape|sel_scale,True,snp_continuous_1class,21,-15290243.8344,-2043.0923918
