run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,rep,region,model
291,1,3,0.005394561,na,na,1.771262538,0.064070213,snp,1,sel,7646162.994,0,CDS,sel_v_neu_1class
291,1,3,0.008708017,na,na,0,0.045818403,snp,1,neu,7646162.994,0,CDS,sel_v_neu_1class
235,1,3,0.007687251,na,na,-1.307956631,0.066795371,snp,1,sel,7640451.389,0,CDS,sel_v_neu_1class_equal_t
235,1,3,0.007687251,na,na,0,0,snp,1,neu,7640451.389,0,CDS,sel_v_neu_1class_equal_t
422,1,3,0.00529635,na,na,1.931623382,0.056092252,snp,1,sel,7646164.957,0,CDS,sel_v_neu_2class
422,1,3,0.000841956,na,na,-126.1314057,0.5,snp,2,sel,7646164.957,0,CDS,sel_v_neu_2class
129,1,3,0.005282342,na,na,1.960665424,0.054948143,snp,1,sel,7646165.463,0,CDS,sel_v_neu_2class_equal_t
129,1,3,0.003420794,na,na,-485.6356078,0.5,snp,2,sel,7646165.463,0,CDS,sel_v_neu_2class_equal_t
384,1,3,0.00583218,0.1,0.001,na,0.035061439,snp,1,sel,7645142.917,0,CDS,sel_v_neu_continuous
431,1,3,0.00795085,279.21471,0.088883498,na,0.051118893,snp,1,sel,7643437.543,0,CDS,sel_v_neu_continuous_equal_t
