run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,length,AIC,delta_AIC
19,30,3,0.000393144909163,na,na,0,0.0568071881485,del,1,neu,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp,-658546.869389,0.0
19,30,3,0.000388218006561,na,na,-1329.00569874,1.73095557248e-06,del,2,sel,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp,-658546.869389,0.0
19,30,3,0.000275287192041,na,na,0,0.0176879437923,ins,1,neu,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp,-658546.869389,0.0
19,30,3,0.000272689113863,na,na,-2060.07404076,1.05838166752e-05,ins,2,sel,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp,-658546.869389,0.0
19,30,3,4.92690260162e-06,na,na,-0.58786507001,1.41710282488e-05,del,1,sel,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp,-658546.869389,0.0
19,30,3,2.59807817748e-06,na,na,0.30760905553,0.00572060710237,ins,1,sel,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp,-658546.869389,0.0
20,26,3,0.000393053621532,na,na,0,0.0568300614382,del,1,neu,329304.511194,,5000,True,indel_discrete_3class_equal_t,35,1bp,-658539.022389,-7.84699979611
20,26,3,0.000385638088418,na,na,-1851.06205302,9.66322093285e-06,del,1,sel,329304.511194,,5000,True,indel_discrete_3class_equal_t,35,1bp,-658539.022389,-7.84699979611
20,26,3,0.000275287932073,na,na,0,0.0176777333165,ins,1,neu,329304.511194,,5000,True,indel_discrete_3class_equal_t,35,1bp,-658539.022389,-7.84699979611
20,26,3,0.000173759187807,na,na,-2444.61241454,2.12415724884e-05,ins,2,sel,329304.511194,,5000,True,indel_discrete_3class_equal_t,35,1bp,-658539.022389,-7.84699979611
20,26,3,9.88818769479e-05,na,na,-1808.86429031,3.31483714578e-05,ins,3,sel,329304.511194,,5000,True,indel_discrete_3class_equal_t,35,1bp,-658539.022389,-7.84699979611
20,26,3,6.32521578907e-06,na,na,-5.17904478144,6.39756812797e-06,del,3,sel,329304.511194,,5000,True,indel_discrete_3class_equal_t,35,1bp,-658539.022389,-7.84699979611
20,26,3,2.64686731847e-06,na,na,0.19541934095,1.63283633522e-05,ins,1,sel,329304.511194,,5000,True,indel_discrete_3class_equal_t,35,1bp,-658539.022389,-7.84699979611
