"type","indel_type","chromo","indels","callable","divergence"
"cds","deletion","autosomes",1350,13235640,0.000101997334469659
"cds","indel","autosomes",2475,13235640,0.000186995113194375
"cds","insertion","autosomes",1125,13235640,8.4997778724716e-05
"non-coding","deletion","autosomes",49073,45650978,0.00107496054082346
"non-coding","indel","autosomes",131360,45650978,0.00287748490295213
"non-coding","insertion","autosomes",82287,45650978,0.00180252436212867
"ar","deletion","autosomes",1371,940493,0.00145774609699381
"ar","indel","autosomes",3156,940493,0.00335568685785008
"ar","insertion","autosomes",1785,940493,0.00189794076085627
"LINE","deletion","autosomes",127,104571,0.00121448585171797
"LINE","indel","autosomes",258,104571,0.0024672232263247
"LINE","insertion","autosomes",131,104571,0.00125273737460673
