chromo	n_variants	callable	divergence	indel_type
Uextra	40	13998	0.00285755107873	indel
2LHet	7	2542	0.00275373721479	indel
YHet	14	3096	0.00452196382429	indel
XHet	96	25069	0.00382943077107	indel
3LHet	108	27742	0.00389301420229	indel
2RHet	111	24847	0.00446734012154	indel
3RHet	30	10527	0.00284981476204	indel
Uextra	24	13998	0.00171453064724	deletion
2LHet	5	2542	0.00196695515342	deletion
YHet	9	3096	0.00290697674419	deletion
XHet	54	25069	0.00215405480873	deletion
3LHet	67	27742	0.00241511066253	deletion
2RHet	68	24847	0.00273674890329	deletion
3RHet	23	10527	0.00218485798423	deletion
U	119	34720	0.00342741935484	indel
4	1538	402988	0.00381649081362	indel
Uextra	16	13998	0.00114302043149	insertion
2LHet	2	2542	0.000786782061369	insertion
YHet	5	3096	0.0016149870801	insertion
XHet	42	25069	0.00167537596234	insertion
3LHet	41	27742	0.00147790353976	insertion
2RHet	43	24847	0.00173059121826	insertion
3RHet	7	10527	0.000664956777809	insertion
U	82	34720	0.00236175115207	deletion
4	922	402988	0.0022879093174	deletion
U	37	34720	0.00106566820276	insertion
4	616	402988	0.00152858149622	insertion
X	39694	9817631	0.00404313423473	indel
2R	26799	9281595	0.00288732701653	indel
2L	30513	10260785	0.0029737490845	indel
3L	36220	12310212	0.00294227264323	indel
3R	35875	13281022	0.00270122284264	indel
X	10930	9817631	0.00111330319911	deletion
2R	9423	9281595	0.00101523498924	deletion
2L	10652	10260785	0.00103812719982	deletion
3L	13699	12310212	0.00111281592876	deletion
3R	14108	13281022	0.00106226764778	deletion
X	28764	9817631	0.00292983103561	insertion
2R	17376	9281595	0.00187209202729	insertion
2L	19861	10260785	0.00193562188468	insertion
3L	22521	12310212	0.00182945671447	insertion
3R	21767	13281022	0.00163895519486	insertion
