chromo	n_variants	callable	divergence	indel_type
dmel_mitochondrion_genome	0	0	0.0	indel
XHet	5	12058	0.000414662464754	indel
YHet	0	20	0.0	indel
2LHet	0	1206	0.0	indel
3RHet	0	4591	0.0	indel
3LHet	2	19272	0.000103777501038	indel
2RHet	7	12435	0.000562927221552	indel
dmel_mitochondrion_genome	0	0	0.0	deletion
XHet	4	12058	0.000331729971803	deletion
YHet	0	20	0.0	deletion
2LHet	0	1206	0.0	deletion
3RHet	0	4591	0.0	deletion
2RHet	4	12435	0.00032167269803	deletion
3LHet	1	19272	5.18887505189e-05	deletion
U	1	6530	0.000153139356815	indel
4	77	254268	0.000302830084792	indel
dmel_mitochondrion_genome	0	0	0.0	insertion
XHet	1	12058	8.29324929507e-05	insertion
YHet	0	20	0.0	insertion
2LHet	0	1206	0.0	insertion
3RHet	0	4591	0.0	insertion
2RHet	3	12435	0.000241254523522	insertion
3LHet	1	19272	5.18887505189e-05	insertion
U	1	6530	0.000153139356815	deletion
4	61	254268	0.000239904352888	deletion
X	823	2492848	0.000330144477321	indel
2R	573	3243566	0.000176657419642	indel
2L	522	2743002	0.000190302449652	indel
3L	667	3340536	0.000199668556184	indel
4	16	254268	6.29257319049e-05	insertion
U	0	6530	0.0	insertion
3R	626	3610234	0.000173395962699	indel
X	356	2492848	0.00014280854669	deletion
2R	297	3243566	9.15658876681e-05	deletion
2L	271	2743002	9.87968656239e-05	deletion
3L	361	3340536	0.000108066489929	deletion
3R	354	3610234	9.80545859354e-05	deletion
X	467	2492848	0.00018733593063	insertion
2R	276	3243566	8.50915319744e-05	insertion
2L	251	2743002	9.1505584028e-05	insertion
3L	306	3340536	9.16020662552e-05	insertion
3R	272	3610234	7.53413767639e-05	insertion
